Institution Name,Institution Code,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Year,Institute Name,Institute Code
Indian Institute of Technology Madras ,(IR-O-U-0456),17.0,22.41,16.58,17.57,13.0,31.77,32.66,15.0,12.55,59.98,29.38,21.98,13.06,7.91,20.0,98.75,2022,,
Indian Institute of Science ,(IR-O-U-0220),11.0,25.0,18.11,19.97,8.0,35.0,34.86,9.0,8.59,54.4,30.39,24.46,9.77,3.22,20.0,100.0,2022,,
"Indian Institute of Technology, Bombay ",(IR-O-U-0306),17.0,25.0,18.1,14.45,11.0,30.42,31.72,13.0,8.95,56.79,26.28,20.02,14.86,4.65,20.0,88.8,2022,,
"Indian Institute of Technology, Delhi ",(IR-O-I-1074),17.0,22.43,1748.0,16.07,9.0,31.16,32.62,13.0,8.03,55.05,24.31,24.4,17.72,7.95,20.0,93.08,2022,,
Indian Institute of Technology Kanpur ,(IR-O-I-1075),17.0,22.46,18.31,16.14,13.0,27.49,27.21,9.0,6.84,60.0,23.89,22.2,10.19,7.87,20.0,77.86,2022,,
"Indian Institute of Technology, Kharagpur ",(IR-O-U-0573),16.67,18.98,15.64,11.36,15.0,29.18,32.46,7.0,7.02,50.85,31.08,19.72,11.33,4.8,20.0,79.82,2022,,
"Indian Institute of Technology, Roorkee ",(IR-O-U-0560),16.64,19.98,15.43,12.17,13.0,28.1,29.34,4.0,5.59,60.0,24.42,24.91,12.8,6.65,20.0,48.84,2022,,
Indian Institute of Technology Guwahati ,(IR-O-U-0053),15.44,23.23,15.54,12.09,12.0,28.27,28.31,3.0,3.96,60.0,23.26,24.07,13.61,1.9,20.0,45.93,2022,,
"All India Institute of Medical Sciences, Delhi", (IR-O-N-15),10.05,25.0,18.52,20.0,2.0,30.25,26.57,1.0,2.57,60.0,12.67,21.37,26.0,0.0,20.0,75.15,2022,,
Jawaharlal Nehru University ,(IR-O-U-0109),14.92,24.27,17.07,12.18,3.5,20.62,21.85,2.0,1.09,55.27,40.0,22.88,27.4,0.0,20.0,59.19,2022,,
Banaras Hindu University ,(IR-O-U-0500),20.0,20.31,16.04,10.56,3.0,18.12,23.81,0.5,1.48,60.0,37.74,8.56,26.48,2.29,20.0,53.95,2022,,
Jadavpur University ,(IR-O-U-0575),17.25,20.85,16.35,7.62,1.5,23.28,24.43,1.5,4.51,60.0,30.1,4.89,23.52,8.45,20.0,49.53,2022,,
"Jamia Millia Islamia, New Delhi",(IR-O-U-0108),16.0,25.0,16.01,9.66,1.5,18.58,22.12,3.0,3.68,60.0,32.46,22.35,29.84,8.95,20.0,23.57,2022,,
Indian Institute of Technology Hyderabad ,(IR-O-U-0013),10.15,25.0,17.89,14.4,6.0,23.13,22.86,4.0,3.19,60.0,11.53,17.84,15.91,2.99,20.0,49.01,2022,,
