Institute Name,Institute Code,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Rank,Year,Institution Name,Institution Code,OE,Predicted_Rank
Indian Institute of Science,IR-1-O-O-U-0220,10.25,30.0,18.3,26.0,35.0,35.0,14.0,7.08,47.13,28.35,21.12,9.5,4.08,9.0,100,1.0,2018,,,0.0,1.0085933
Indian Institute of Technology Madras,IR-2-O-OE-U-0456,17.0,27.77,17.92,19.0,28.28,28.93,13.0,11.21,60.0,25.36,22.86,13.37,8.57,20.0,86.61,2.0,2018,,,0.0,2.0027583
Indian Institute of Technology Bombay,IR-3-O-OEM-U-0306,17.0,28.55,19.2,16.59,29.83,31.68,15.0,9.08,57.85,23.68,22.23,13.23,6.07,7.0,79.61,3.0,2018,,,0.0,2.9970992
Indian Institute of Technology Delhi,IR-3-O-OEM-I-1074,14.85,24.41,15.89,18.22,29.61,31.18,9.0,8.88,52.88,22.02,23.01,13.65,4.3,20.0,72.79,4.0,2018,,,0.0,4.0026426
Indian Institute of Technology Kharagpur,IR-5-O-OEMAL-U-0573,16.56,23.25,15.21,12.95,28.36,32.47,7.0,6.74,56.76,27.23,22.39,10.71,3.06,20.0,62.12,5.0,2018,,,0.0,5.033079
Jawaharlal Nehru University,IR-1-O-O-U-0109,13.51,29.34,17.07,14.08,17.5,19.96,3.0,2.14,60.0,39.12,24.16,26.69,5.47,20.0,46.28,6.0,2018,,,0.0,5.9997063
Indian Institute of Technology Kanpur,IR-3-O-OEM-I-1075,14.69,24.67,16.74,15.61,26.01,26.92,10.0,5.7,42.95,19.81,17.37,8.47,4.97,9.0,67.59,7.0,2018,,,0.0,7.0335407
Indian Institute of Technology Roorkee,IR-4-O-OEMA-U-0560,15.09,23.11,15.14,12.53,26.62,29.38,0.5,5.09,60.0,25.29,24.19,11.78,2.68,20.0,37.56,8.0,2018,,,0.0,7.977252
Banaras Hindu University,IR-3-O-OMD-U-0500,18.62,21.64,14.43,10.46,17.45,27.19,1.5,4.62,60.0,35.42,7.25,22.39,3.49,20.0,43.62,9.0,2018,,,0.0,8.995178
	Anna University,IR-4-O-OEMA-U-0439,15.78,21.87,12.6,7.06,24.79,25.88,5.0,5.09,59.68,19.47,1.09,26.7,4.75,20.0,63.22,10.0,2018,,,0.0,10.02564
University of Hyderabad,IR-1-O-O-U-0042,12.11,30.0,19.63,12.62,21.09,20.68,1.5,2.08,60.0,24.45,13.04,25.66,0.0,17.0,21.66,11.0,2018,,,0.0,11.014337
