Institution Name,Institution Code,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Rank
Indian Institute of Technology Madras ,(IR-O-U-0456),17,23.97,17.72,12.91,14,31.38,32.78,15,13.35,59.98,26.34,22.17,13.97,7.43,20,97.13,1
Indian Institute of Science ,(IR-O-U-0220),10.46,25,18.34,15.33,10,35,35,13,8.48,50.6,27.63,21.91,9.21,7.27,20,100,2
Indian Institute of Technology Bombay ,(IR-O-U-0306),17,24.33,19.52,9.67,13,30.47,31.93,15,10.4,55.83,25.03,20.23,14.86,4.38,18,91.96,3
Indian Institute of Technology Delhi ,(IR-O-1-1074),17,24.65,18.61,11.77,12,31.17,32.23,11,10.06,52.94,22.13,25.31,18.67,3.99,20,93.89,4
Indian Institute of Technology Kanpur ,(IR-O-1-1075),15.7,22.03,17.12,11.65,14,27.24,27,13,7.99,60,20.74,19.7,9,8.28,20,79.3,5
Indian Institute of Technology Kharagpur ,(IR-O-U-0573),16.8,19.19,15.65,7.62,15,28.93,32.21,6,9.08,55.57,27.66,19.99,10.92,4.45,20,82.92,6
Indian Institute of Technology Roorkee ,(IR-O-U-0560),16.51,21.42,16.24,8.51,14,28.16,29.25,5,5.97,60,23.16,24.86,13.64,6.81,20,47.28,7
Indian Institute of Technology Guwahati ,(IR-O-U-0053),14.15,24.21,17.39,8,10,27.8,28.15,7,3.31,60,21.26,24.41,13.58,4.97,20,47.04,8
Jawaharlal Nehru University ,(IR-O-U-0109),15.5,24.73,16.98,8.99,5,20.15,20.56,3,1.25,59.55,35.52,24.5,28.86,0,20,54.12,9
Banaras Hindu University ,(IR-O-U-0500),20,18.56,14.88,7.06,4,18.18,23.64,1,2.17,60,40,9.61,24.23,3.28,16,49.38,10
Calcutta University ,(IR-O-U-0570),17.52,24.21,16.02,4.95,3.5,15.86,18.04,6,4.03,60,31.72,3.98,30,7,20,39.68,11
Amrita Vishwa Vidyapeetham,(IR-O-U-0436),17.39,25,15.66,6.18,0,19.82,18.37,11,5.14,59.4,11.95,16.14,28.12,1.28,20,34.8,12
Jamia Millia Islamia,(IR-O-U-0108),16,25,16.01,6.44,3,16.6,19.93,3,3.9,60,26.67,17.4,26.59,8.36,20,20.25,13
Jadavpur University ,(IR-O-U-0575),17.32,15.74,12.57,3.58,2.5,22.54,24.27,1.5,3.41,60,27.77,2.55,20.28,7.34,20,53.3,14
Manipal Academy of Higher Education,(IR-O-U-0234),17.75,25,16.79,8.14,0,18.3,19.29,3,7.58,56.19,19.86,17.21,27.01,1.03,20,24.18,15
Indian Institute of Technology Hyderabad ,(IR-O-U-0013),8.83,25,16.78,10.78,0,21.7,22.42,5,3.52,60,7.51,17.94,15.03,5.61,20,49.61,16
University of Hyderabad ,(IR-O-U-0042),12.82,25,19.7,6.06,6,18.84,19.05,1,1.85,55.45,21.99,15.19,25.53,0,18,32.13,17
Aligarh Muslim University ,(IR-O-U-0496),20,24.09,16.79,6.18,2,15.84,20.94,2,2.08,52.81,27.25,8.37,25.84,2.72,20,27,18
University of Delhi ,(IR-O-U-0120),17.65,11.1,8.48,5.43,0,21.13,26.34,3,3.76,48.47,34.19,13.71,25.6,0.28,20,44.81,19
Savitribai Phule Pune University ,(IR-O-U-0323),13.22,19.35,13.94,8.45,8,18.52,19.05,2,3.2,60,26.96,3.14,25.19,2.59,20,16.41,20
Vellore Institute of Technology ,(IR-O-U-0490),17.18,15.64,12.02,3.59,0,23.23,27.91,5,0.69,53.36,16.58,17.83,21.44,0.11,20,38.8,21
Bharathiar University ,(IR-O-U-0447),11.57,25,18.86,6.36,0,22.64,21.29,2,1.51,60,14.17,3.21,30,2,18,24.6,22
National Institute of Technology Tiruchirapalli ,(IR-O-U-0467),15,16.67,12.97,7.76,0,19.09,19.09,3,3.4,60,11.79,17.91,18.69,6.74,20,51.82,23
Indian Institute of Science Education & Research Pune ,(IR-O-U-0305),8.31,25,17.66,10.28,6,20.59,21.45,2,1.55,50,9.31,17.68,19.15,1.92,20,28.91,24
Anna University ,(IR-O-U-0439),15.62,19.49,12.94,3.87,0,17.9,19.6,2,3.59,60,13.11,0.82,27.19,3.34,20,61.72,25
Indian Institute of Technology (Indian School of Mines),(IR-O-U-0205),14.02,15.24,12.52,6.4,0,24.74,24.98,2.5,4.42,58.55,12.6,20.35,6.71,8.09,20,27,26
Institute of Chemical Technology ,(IR-O-U-0308),8.72,17.87,14.53,8.92,0,19.28,19.39,15,2.15,60,15.96,6.24,24.89,1.94,13,22.04,27
Indian Institute of Technology (Banaras Hindu University)Varanasi,(IR-O-U-0701),15.12,16.43,13.21,7.11,4,19.8,21.5,4,2.11,58.51,11.37,18.07,9.6,9.01,20,31.08,28
Birla Institute of Technology & Science -Pilani ,(IR-O-U-0391),16.5,18.19,14.51,6.62,0,16.86,19.15,3,4.12,60,12.05,23.07,16.36,0.07,20,32.81,29
Indian Institute of Technology Indore ,(IR-O-U-0273),6.89,24.68,16.65,9.29,0,23.66,22.78,2,0.81,59.81,9.89,17.98,11.44,7.18,20,15.91,30
Indian Institute of Technology Ropar ,(IR-O-U-0378),8.79,25,17.57,10.4,11,14.35,16.31,1.5,0.75,57.93,4.12,23.95,15.12,4.82,20,23.76,31
National Institute of Technology Karnataka ,(IR-O-U-0237),13.5,18.93,14.14,7.24,0,19.9,18.26,1,2.58,60,13.32,18.11,17.89,9.58,20,30.01,32
Indian Institute of Technology Gandhinagar ,(IR-O-U-0139),7.76,23.9,18.32,10.28,11,16.42,18,1,1.73,51.59,5.62,22.18,18.74,3.29,20,23.76,33
Mysore University ,(IR-O-U-0235),16,22.93,16.7,5.14,8,7.09,8.9,2,0.8,60,30.54,1.69,30,2.56,20,6.85,34
Indian Institute of Science Education & Research Kolkata ,(IR-O-U-0572),8.44,25,16.8,9.42,0,17.8,19.74,0.5,0.79,60,6.26,15.56,16.23,1.74,20,23.34,35
Homi Bhabha National Institute ,(IR-O-U-0304),8.73,25,18.08,16.83,0,15.66,17.27,0,3.51,41.78,24.2,13.13,22.66,0,15,6.22,36
Siksha 'O' Anusandhan,(IR-O-U-0363),16.22,25,15.33,7.35,0,11.03,13.58,4,1.31,60,11.34,15.07,30,0.83,20,13.28,37
Panjab University ,(IR-O-U-0078),15.99,13.27,10.17,4.45,5,15.22,22.39,2,1.25,44.67,26.9,12.67,25.36,0.47,15,37.31,38
Kalinga Institute of Industrial Technology ,(IR-O-U-0356),19,24.62,17.25,15.3,0,9.41,12.19,3,3.18,60,10,24.92,30,3.5,20,11.06,39
"Indian Institute of Science Education & Research, Mohali ",(IR-O-U-0377),8.33,24.55,18.62,8.92,2,15,15.15,1,0.71,54.38,5.2,21.85,23.99,5.81,20,22.04,40
National Institute of Technology Rourkela ,(IR-O-U-0357),14.86,16.1,13.2,5.05,0,22.46,23.1,1.5,1.24,50.98,14.34,14.94,12.28,4.44,20,17.89,41
Shanmugha Arts Science Technology & Research Academy,(IR-O-U-0476),15.15,24.13,15.25,4.06,0,15.22,17.03,1.5,4.53,60,6.3,9.22,27.86,0.7,20,10.48,42
Amity University ,(IR-O-U-0497),16.7,17.18,11.51,3.59,0,14.26,15.8,9,4.22,60,7.55,14.87,29.55,0.24,20,12.18,43
Kerala University ,(IR-O-U-0260),11.5,25,16.12,12.15,0,9.13,10.15,0,0.65,60,29.11,15.3,30,0,20,49.1,44
Thapar Institute of Engineering and Technology ,(IR-O-I-1480),13.88,17.42,13.18,5.96,0,17.96,21.59,2,0.71,60,7.3,14.61,20.95,0.79,20,19.32,45
Indian Institute of Engineering Science and Technology ,(IR-O-U-0584),11.07,18.68,13.63,5.7,2.5,19.38,17.48,1,1.14,57.54,14.11,12.07,14.79,3.36,20,27.77,46
University of Madras ,(IR-O-I-1357),10.53,24.51,17.35,4.96,4,14.63,13.77,2,1.42,52.03,14.4,4.39,29.49,0,20,20.25,47
"Andhra University, Visakhapatnam ",(IR-O-U-0006),15.96,16.4,12.83,8.35,1.5,10.27,9.6,0.5,5.22,60,25.84,41.51,29.32,3.62,20,18.37,48
Saveetha Institute of Medical and Technical Sciences ,(IR-O-I-1441),14.04,25,17.94,4.8,0,14.44,12.97,4.5,2.37,60,4.91,14,28.31,3.68,20,2.18,49
